index,RECIPE_ID,RECIPE_NM_KO,IMG_URL,Allergie
103,13,열무국수,http://file.okdab.com/UserFiles/searching/recipe/002800.jpg,
104,63,열무김치,http://file.okdab.com/UserFiles/searching/recipe/012800.jpg,
105,64,오이소박이,http://file.okdab.com/UserFiles/searching/recipe/012900.jpg,
106,321,오징어채볶음,http://file.okdab.com/UserFiles/searching/recipe/082300.jpg,
107,None,오징어튀김,None,
108,36,우엉조림,,
109,59,유부초밥,http://file.okdab.com/UserFiles/searching/recipe/012000.jpg,
110,204,육개장,http://file.okdab.com/UserFiles/searching/recipe/050000.jpg,
111,131,육회,http://file.okdab.com/UserFiles/searching/recipe/028800.jpg,
112,292,잔치국수,http://file.okdab.com/UserFiles/searching/recipe/074300.jpg,
113,None,잡곡밥,None,
114,157,잡채,http://file.okdab.com/UserFiles/searching/recipe/034600.jpg,
115,None,장어구이,,
116,92,장조림,http://file.okdab.com/UserFiles/searching/recipe/017600.jpg,
117,453,전복죽,http://file.okdab.com/UserFiles/searching/recipe/141600.jpg,
118,343,젓갈,http://file.okdab.com/UserFiles/searching/recipe/087600.jpg,
119,242,제육볶음,http://file.okdab.com/UserFiles/searching/recipe/061500.jpg,
120,None,조개구이,None,
121,None,조기구이,None,
122,None,족발,None,
123,None,주꾸미볶음,None,
124,134,주먹밥,http://file.okdab.com/UserFiles/searching/recipe/029900.jpg,
125,None,짜장면,,
126,None,짬뽕,None,
127,489,쫄면,http://file.okdab.com/UserFiles/searching/recipe/162500.jpg,
128,None,찜닭,,
129,66,총각김치,http://file.okdab.com/UserFiles/searching/recipe/013100.jpg,
130,None,추어탕,None,
131,322,칼국수,http://file.okdab.com/UserFiles/searching/recipe/082400.jpg,
132,294,코다리조림,http://file.okdab.com/UserFiles/searching/recipe/074900.jpg,
133,459,콩국수,http://file.okdab.com/UserFiles/searching/recipe/145200.jpg,
134,80,콩나물국,http://file.okdab.com/UserFiles/searching/recipe/015100.jpg,
135,35,콩나물무침,http://file.okdab.com/UserFiles/searching/recipe/006600.jpg,
136,91,콩자반,http://file.okdab.com/UserFiles/searching/recipe/017500.jpg,
